greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
πολις	G4172	N-NSF	390	polis	πολις	a town (properly, with walls, of greater or less size)	390	(2, 3, 5, 13)	(2, 3, 5, 13)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	14:8, 16:19, 17:18, 18:10, 18:16, 18:19, 18:21, 21:16, 21:18, 21:23
χρυσιον	G5553	N-NSN	1430	xrusion	χρυσιον	a golden article, i.e. gold plating, ornament, or coin	1430	(2, 5, 11, 13)	(2, 5, 11, 13)	(1011, 2022, 826, 2477, 640, 3198, 584, 3503, 884, 2314, 455, 4492)	(1011, 2022, 826, 2477, 640, 3198, 584, 3503, 884, 2314, 455, 4492)	3:18, 21:18, 21:21
καθαρον	G2513	A-ASM	251	katharon	καθαρος	clean (literally or figuratively)	401	(251,)	(401,)	(177, 355, 145, 435, 112, 561, 102, 615, 155, 406, 80, 789)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	15:6, 19:8, 19:14, 21:18, 21:21, 22:1
ομοια	G3664	A-NSF	191	omoia	ομοιος	similar (in appearance or character)	460	(191,)	(2, 5, 23)	(135, 270, 110, 331, 85, 427, 78, 468, 118, 309, 61, 600)	(325, 651, 266, 797, 206, 1029, 188, 1127, 284, 744, 146, 1445)	4:6, 9:7, 13:11, 16:13, 18:18, 21:18
υαλω	G5194	N-DSM	1231	ualō	υαλος	glass	701	(1231,)	(701,)	(870, 1741, 711, 2132, 551, 2753, 503, 3015, 761, 1992, 392, 3867)	(496, 991, 405, 1214, 313, 1567, 286, 1717, 433, 1134, 223, 2202)	21:18
καθαρω	G2513	A-DSM	931	katharō	καθαρος	clean (literally or figuratively)	401	(7, 19)	(401,)	(658, 1317, 538, 1613, 416, 2082, 380, 2280, 575, 1506, 296, 2925)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	21:18
θεμελιοι	G2310	N-NPM	179	themelioi	θεμελιος	something put down, i.e. a substruction (of a building, etc.), (literally or figuratively)	369	(179,)	(3, 41)	(127, 253, 103, 310, 80, 400, 73, 438, 111, 290, 57, 562)	(261, 522, 213, 639, 165, 825, 151, 904, 228, 597, 117, 1159)	21:19
τειχους	G5038	N-GSN	1585	teixous	τειχος	a wall (as formative of a house)	1185	(5, 317)	(3, 5, 79)	(1121, 2242, 915, 2745, 709, 3544, 647, 3882, 980, 2565, 505, 4979)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	21:18, 21:19
πολεως	G4172	N-GSF	1185	poleōs	πολις	a town (properly, with walls, of greater or less size)	390	(3, 5, 79)	(2, 3, 5, 13)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	3:12, 11:8, 11:13, 14:20, 21:14, 21:19, 21:21, 22:19
παντι	G3956	A-DSM	441	panti	πας	all, any, every, the whole	281	(3, 7)	(281,)	(312, 624, 255, 764, 197, 986, 180, 1080, 273, 714, 140, 1385)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	21:19, 22:18
λιθω	G3037	N-DSM	849	lithō	λιθος	a stone (literally or figuratively)	319	(3, 283)	(11, 29)	(600, 1201, 490, 1471, 380, 1898, 347, 2080, 525, 1374, 270, 2667)	(226, 451, 184, 553, 143, 713, 130, 781, 197, 516, 102, 1002)	4:3, 17:4, 18:16, 21:11, 21:19
τιμιω	G5093	A-DSM	1160	timiō	τιμιωτατος	valuable, i.e. (objectively) costly, or (subjectively) honored, esteemed, or (figuratively) beloved	2031	(2, 5, 29)	(3, 677)	(820, 1640, 670, 2009, 519, 2594, 474, 2841, 717, 1877, 369, 3644)	(1436, 2872, 1173, 3518, 908, 4541, 829, 4975, 1255, 3286, 646, 6381)	17:4, 18:16, 21:19
κεκοσμημενοι	G2885	V-RPP-NPM	538	kekosmēmenoi	κοσμεω	to put in proper order, i.e. decorate (literally or figuratively); specially, to snuff (a wick)	1135	(2, 269)	(5, 227)	(380, 761, 311, 932, 241, 1203, 220, 1318, 333, 871, 171, 1690)	(803, 1605, 655, 1966, 508, 2538, 463, 2780, 701, 1836, 361, 3566)	21:19
θεμελιος	G2310	N-NSM	369	themelios	θεμελιος	something put down, i.e. a substruction (of a building, etc.), (literally or figuratively)	369	(3, 41)	(3, 41)	(261, 522, 213, 639, 165, 825, 151, 904, 228, 597, 117, 1159)	(261, 522, 213, 639, 165, 825, 151, 904, 228, 597, 117, 1159)	21:19
πρωτος	G4413	A-NSM	1550	prōtos	πρωτος	foremost (in time, place, order or importance)	1550	(2, 5, 31)	(2, 5, 31)	(1096, 2192, 895, 2685, 693, 3466, 633, 3797, 958, 2508, 493, 4869)	(1096, 2192, 895, 2685, 693, 3466, 633, 3797, 958, 2508, 493, 4869)	1:11, 1:17, 2:8, 8:7, 16:2, 21:1, 21:19, 22:13
ιασπις	G2393	N-NSF	501	iaspis	ιασπις	jasper, a gem	501	(3, 167)	(3, 167)	(354, 709, 289, 868, 224, 1120, 205, 1227, 310, 811, 159, 1574)	(354, 709, 289, 868, 224, 1120, 205, 1227, 310, 811, 159, 1574)	21:18, 21:19
δευτερος	G1208	A-NSM	1084	deuteros	δευτερος	(ordinal) second (in time, place, or rank; also adverb)	1084	(2, 271)	(2, 271)	(767, 1533, 626, 1878, 485, 2424, 443, 2655, 670, 1754, 345, 3405)	(767, 1533, 626, 1878, 485, 2424, 443, 2655, 670, 1754, 345, 3405)	8:8, 16:3, 20:6, 20:14, 21:8, 21:19
σαπφειρος	G4552	N-NSF	1166	sapfeiros	σαπφειρος	"a ""sapphire"" or lapis-lazuli gem"	1166	(2, 11, 53)	(2, 11, 53)	(824, 1649, 673, 2020, 521, 2607, 476, 2856, 721, 1887, 371, 3663)	(824, 1649, 673, 2020, 521, 2607, 476, 2856, 721, 1887, 371, 3663)	21:19
τριτος	G5154	A-NSM	980	tritos	τριτος	third; neuter (as noun) a third part, or (as adverb) a (or the) third time, thirdly	980	(2, 5, 7)	(2, 5, 7)	(693, 1386, 566, 1697, 438, 2191, 400, 2400, 606, 1586, 312, 3079)	(693, 1386, 566, 1697, 438, 2191, 400, 2400, 606, 1586, 312, 3079)	8:10, 14:9, 16:4, 21:19
χαλκηδων	G5472	N-NSM	1513	xalkēdōn	χαλκηδων	"copper-like, i.e. ""chalcedony"""	1513	(17, 89)	(17, 89)	(1070, 2140, 874, 2621, 677, 3383, 618, 3706, 935, 2448, 482, 4753)	(1070, 2140, 874, 2621, 677, 3383, 618, 3706, 935, 2448, 482, 4753)	21:19
τεταρτος	G5067	A-NSM	1276	tetartos	τεταρτος	fourth	1276	(2, 11, 29)	(2, 11, 29)	(902, 1805, 737, 2210, 571, 2853, 521, 3126, 789, 2065, 406, 4009)	(902, 1805, 737, 2210, 571, 2853, 521, 3126, 789, 2065, 406, 4009)	8:12, 16:8, 21:19
σμαραγδος	G4665	N-NSM	619	smaragdos	σμαραγδος	the emerald or green gem so called	619	(619,)	(619,)	(438, 875, 357, 1072, 277, 1384, 253, 1516, 383, 1002, 197, 1945)	(438, 875, 357, 1072, 277, 1384, 253, 1516, 383, 1002, 197, 1945)	21:19
πεμπτος	G3991	A-NSM	775	pemptos	πεμπτος	fifth	775	(5, 31)	(5, 31)	(548, 1096, 447, 1342, 347, 1733, 316, 1898, 479, 1254, 247, 2435)	(548, 1096, 447, 1342, 347, 1733, 316, 1898, 479, 1254, 247, 2435)	9:1, 16:10, 21:20
σαρδονυξ	G4557	N-NSF	885	sardonuc	σαρδονυξ	"hence the ""onyx"" stone); a ""sardonyx"", i.e. the gem so called"	885	(3, 5, 59)	(3, 5, 59)	(626, 1252, 511, 1533, 396, 1979, 361, 2168, 547, 1432, 282, 2780)	(626, 1252, 511, 1533, 396, 1979, 361, 2168, 547, 1432, 282, 2780)	21:20
εκτος	G1623	A-NSM	595	ektos	εκτος	sixth	595	(5, 7, 17)	(5, 7, 17)	(421, 841, 344, 1031, 266, 1330, 243, 1457, 368, 963, 189, 1869)	(421, 841, 344, 1031, 266, 1330, 243, 1457, 368, 963, 189, 1869)	9:13, 16:12, 21:20
σαρδιος	G4556	N-NSM	585	sardios	σαρδιος	sardian (3037 being implied), i.e. (as noun) the gem so called	585	(3, 5, 13)	(3, 5, 13)	(414, 827, 338, 1013, 262, 1308, 239, 1433, 362, 947, 186, 1838)	(414, 827, 338, 1013, 262, 1308, 239, 1433, 362, 947, 186, 1838)	21:20
εβδομος	G1442	A-NSM	391	ebdomos	εβδομος	seventh	391	(17, 23)	(17, 23)	(276, 553, 226, 677, 175, 874, 160, 958, 242, 633, 124, 1228)	(276, 553, 226, 677, 175, 874, 160, 958, 242, 633, 124, 1228)	11:15, 16:17, 21:20
χρυσολιθος	G5555	N-NSM	1689	xrusolithos	χρυσολιθος	"gold-stone, i.e. a yellow gem (""chrysolite"")"	1689	(3, 563)	(3, 563)	(1194, 2389, 975, 2925, 755, 3777, 690, 4137, 1044, 2733, 538, 5306)	(1194, 2389, 975, 2925, 755, 3777, 690, 4137, 1044, 2733, 538, 5306)	21:20
ογδοος	G3590	A-NSM	417	ogdoos	ογδοος	the eighth	417	(3, 139)	(3, 139)	(295, 590, 241, 722, 186, 932, 170, 1021, 258, 675, 133, 1310)	(295, 590, 241, 722, 186, 932, 170, 1021, 258, 675, 133, 1310)	17:11, 21:20
βηρυλλος	G969	N-NSM	840	bērullos	βηρυλλος	"a ""beryl"""	840	(2, 3, 5, 7)	(2, 3, 5, 7)	(594, 1188, 485, 1455, 376, 1878, 343, 2058, 519, 1359, 267, 2639)	(594, 1188, 485, 1455, 376, 1878, 343, 2058, 519, 1359, 267, 2639)	21:20
ενατος	G1766	A-NSM	626	enatos	εννατος	ninth	676	(2, 313)	(2, 13)	(443, 885, 361, 1084, 280, 1400, 256, 1533, 387, 1013, 199, 1967)	(478, 956, 390, 1171, 302, 1512, 276, 1656, 418, 1094, 215, 2124)	21:20
τοπαζιον	G5116	N-NSN	588	topazion	τοπαζιον	of uncertain origin); a gem, probably the chrysolite	588	(2, 3, 7)	(2, 3, 7)	(416, 832, 339, 1018, 263, 1315, 240, 1440, 363, 951, 187, 1847)	(416, 832, 339, 1018, 263, 1315, 240, 1440, 363, 951, 187, 1847)	21:20
δεκατος	G1182	A-NSM	600	dekatos	δεκατος	tenth	600	(2, 3, 5)	(2, 3, 5)	(424, 849, 346, 1039, 268, 1342, 245, 1470, 371, 971, 191, 1885)	(424, 849, 346, 1039, 268, 1342, 245, 1470, 371, 971, 191, 1885)	21:20
χρυσοπρασος	G5556	N-NSM	2021	xrusoprasos	χρυσοπρασος	"a greenish-yellow gem (""chrysoprase"")"	2021	(43, 47)	(43, 47)	(1429, 2858, 1167, 3500, 904, 4519, 825, 4950, 1249, 3270, 643, 6349)	(1429, 2858, 1167, 3500, 904, 4519, 825, 4950, 1249, 3270, 643, 6349)	21:20
ενδεκατος	G1734	A-NSM	655	endekatos	ενδεκατος	eleventh	655	(5, 131)	(5, 131)	(463, 926, 378, 1134, 293, 1465, 267, 1604, 405, 1060, 208, 2058)	(463, 926, 378, 1134, 293, 1465, 267, 1604, 405, 1060, 208, 2058)	21:20
υακινθος	G5192	N-NSM	760	uakinthos	υακινθος	"the ""hyacinth"" or ""jacinth"", i.e. some gem of a deep blue color, probably the zirkon"	760	(2, 5, 19)	(2, 5, 19)	(537, 1075, 439, 1316, 340, 1699, 310, 1862, 470, 1230, 242, 2388)	(537, 1075, 439, 1316, 340, 1699, 310, 1862, 470, 1230, 242, 2388)	21:20
δωδεκατος	G1428	A-NSM	1404	dōdekatos	δωδεκατος	twelfth	1404	(2, 3, 13)	(2, 3, 13)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	21:20
αμεθυστος	G271	N-NSF	1225	amethustos	αμεθυστος	"the ""amethyst"" (supposed to prevent intoxication)"	1225	(5, 7)	(5, 7)	(866, 1732, 707, 2122, 548, 2739, 500, 3001, 757, 1982, 390, 3848)	(866, 1732, 707, 2122, 548, 2739, 500, 3001, 757, 1982, 390, 3848)	21:20
δωδεκα	G1427	A-NUI	834	dōdeka	δωδεκα	two and ten, i.e. a dozen	834	(2, 3, 139)	(2, 3, 139)	(590, 1179, 482, 1445, 373, 1865, 340, 2043, 515, 1349, 265, 2620)	(590, 1179, 482, 1445, 373, 1865, 340, 2043, 515, 1349, 265, 2620)	12:1, 21:12, 21:14, 21:16, 21:21, 22:2
πυλωνες	G4440	N-NPM	1565	pulōnes	πυλων	a gate-way, door-way of a building or city; by implication, a portal or vestibule	1360	(5, 313)	(2, 5, 17)	(1107, 2213, 904, 2711, 700, 3499, 639, 3833, 967, 2532, 498, 4917)	(962, 1923, 785, 2356, 608, 3041, 555, 3331, 841, 2201, 433, 4273)	21:13, 21:21, 21:25
δωδεκα	G1427	A-NUI	834	dōdeka	δωδεκα	two and ten, i.e. a dozen	834	(2, 3, 139)	(2, 3, 139)	(590, 1179, 482, 1445, 373, 1865, 340, 2043, 515, 1349, 265, 2620)	(590, 1179, 482, 1445, 373, 1865, 340, 2043, 515, 1349, 265, 2620)	12:1, 21:12, 21:14, 21:16, 21:21, 22:2
μαργαριται	G3135	N-NPM	566	margaritai	μαργαριτης	a pearl	763	(2, 283)	(7, 109)	(400, 800, 327, 980, 253, 1266, 231, 1386, 350, 916, 180, 1778)	(540, 1079, 441, 1322, 341, 1706, 311, 1869, 472, 1235, 243, 2397)	21:21
εκαστος	G1538	A-NSM	796	ekastos	εκαστος	each or every	796	(2, 199)	(2, 199)	(563, 1126, 460, 1379, 356, 1780, 325, 1950, 492, 1288, 253, 2501)	(563, 1126, 460, 1379, 356, 1780, 325, 1950, 492, 1288, 253, 2501)	5:8, 20:13, 21:21
πυλωνων	G4440	N-GPM	2210	pulōnōn	πυλων	a gate-way, door-way of a building or city; by implication, a portal or vestibule	1360	(2, 5, 13, 17)	(2, 5, 17)	(1563, 3125, 1276, 3828, 988, 4942, 902, 5413, 1366, 3576, 703, 6943)	(962, 1923, 785, 2356, 608, 3041, 555, 3331, 841, 2201, 433, 4273)	21:21
ην	G2258	V-IXI-3S	58	ēn	ην	I (thou, etc.) was (wast or were)	58	(2, 29)	(2, 29)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	1:1, 1:4, 1:8, 4:1, 4:3, 4:8, 6:9, 9:10, 10:8, 10:10, 11:17, 13:2, 16:5, 17:8, 17:11, 17:18, 21:18, 21:21
ενος	G1520	A-GSM	325	enos	εις	one	215	(5, 13)	(5, 43)	(230, 460, 188, 563, 145, 727, 133, 796, 201, 526, 103, 1021)	(152, 304, 124, 372, 96, 481, 88, 527, 133, 348, 68, 675)	6:1, 8:13, 21:21
μαργαριτου	G3135	N-GSM	1025	margaritou	μαργαριτης	a pearl	763	(5, 41)	(7, 109)	(725, 1450, 592, 1775, 458, 2292, 418, 2511, 633, 1658, 326, 3220)	(540, 1079, 441, 1322, 341, 1706, 311, 1869, 472, 1235, 243, 2397)	18:12, 21:21
πλατεια	G4113	N-NSF	427	plateia	πλατεια	"a wide ""plat"" or ""place"", i.e. open square"	427	(7, 61)	(7, 61)	(302, 604, 247, 740, 191, 955, 174, 1046, 264, 691, 136, 1341)	(302, 604, 247, 740, 191, 955, 174, 1046, 264, 691, 136, 1341)	21:21
πολεως	G4172	N-GSF	1185	poleōs	πολις	a town (properly, with walls, of greater or less size)	390	(3, 5, 79)	(2, 3, 5, 13)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	3:12, 11:8, 11:13, 14:20, 21:14, 21:19, 21:21, 22:19
χρυσιον	G5553	N-NSN	1430	xrusion	χρυσιον	a golden article, i.e. gold plating, ornament, or coin	1430	(2, 5, 11, 13)	(2, 5, 11, 13)	(1011, 2022, 826, 2477, 640, 3198, 584, 3503, 884, 2314, 455, 4492)	(1011, 2022, 826, 2477, 640, 3198, 584, 3503, 884, 2314, 455, 4492)	3:18, 21:18, 21:21
καθαρον	G2513	A-ASM	251	katharon	καθαρος	clean (literally or figuratively)	401	(251,)	(401,)	(177, 355, 145, 435, 112, 561, 102, 615, 155, 406, 80, 789)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	15:6, 19:8, 19:14, 21:18, 21:21, 22:1
ως	G5613	ADV	1000	ōs	ως	which how, i.e. in that manner (very variously used, as follows)	1000	(2, 5)	(2, 5)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	1:10, 1:14, 1:15, 1:16, 1:17, 2:18, 2:24, 2:27, 3:3, 3:21, 4:1, 4:7, 5:6, 6:1, 6:11, 6:12, 6:13, 6:14, 8:1, 8:8, 8:10, 9:2, 9:3, 9:5, 9:7, 9:8, 9:9, 9:17, 10:1, 10:7, 10:9, 10:10, 12:15, 13:2, 13:3, 13:11, 14:2, 14:3, 15:2, 16:3, 16:15, 16:21, 17:12, 18:6, 18:21, 19:6, 19:12, 20:8, 21:2, 21:11, 21:21, 22:1, 22:12
υαλος	G5194	N-NSM	701	ualos	υαλος	glass	701	(701,)	(701,)	(496, 991, 405, 1214, 313, 1567, 286, 1717, 433, 1134, 223, 2202)	(496, 991, 405, 1214, 313, 1567, 286, 1717, 433, 1134, 223, 2202)	21:21
διαφανης	G1307	A-NSM	774	diafanēs	διαφανης	"appearing through, i.e. ""diaphanous"""	774	(2, 3, 43)	(2, 3, 43)	(547, 1095, 447, 1341, 346, 1731, 316, 1896, 478, 1252, 246, 2432)	(547, 1095, 447, 1341, 346, 1731, 316, 1896, 478, 1252, 246, 2432)	21:21
ναον	G3485	N-ASM	171	naon	ναος	a fane, shrine, temple 	321	(3, 19)	(3, 107)	(121, 242, 99, 296, 76, 382, 70, 419, 106, 277, 54, 537)	(227, 454, 185, 556, 144, 718, 131, 786, 198, 519, 102, 1008)	11:1, 15:8, 21:22
ειδον	G1492	V-2AAI-1S	139	eidon	ειδω	used only in certain past tenses, the others being borrowed from the equivalent G3700 (εἴδω) and G3708 (εἴδω); properly, to see (literally or figuratively); by implication, (in the perfect tense only) to know	819	(139,)	(3, 7, 13)	(98, 197, 80, 241, 62, 311, 57, 340, 86, 225, 44, 437)	(579, 1158, 473, 1419, 366, 1831, 334, 2006, 506, 1325, 261, 2573)	1:12, 1:17, 4:1, 4:4, 5:1, 5:2, 5:6, 5:11, 6:1, 6:2, 6:5, 6:8, 6:9, 6:12, 7:1, 7:2, 7:9, 8:2, 8:13, 9:1, 9:17, 10:1, 10:5, 13:1, 13:2, 13:3, 13:11, 14:1, 14:6, 14:14, 15:1, 15:2, 15:5, 16:13, 17:3, 17:6, 18:1, 19:11, 19:17, 19:19, 20:1, 20:4, 20:11, 20:12, 21:1, 21:2, 21:22
κυριος	G2962	N-NSM	800	kurios	κυριος	supreme in authority, i.e. (as noun) controller; by implication, Master (as a respectful title)	800	(2, 5)	(2, 5)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	1:8, 4:8, 11:8, 17:14, 18:8, 19:6, 19:16, 21:22, 22:5, 22:6
θεος	G2316	N-NSM	284	theos	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 71)	(2, 71)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:1, 4:8, 7:17, 11:17, 15:3, 16:7, 17:17, 18:5, 18:8, 18:20, 19:6, 21:3, 21:4, 21:7, 21:22, 22:5, 22:6, 22:18, 22:19
παντοκρατωρ	G3841	N-NSM	1822	pantokratōr	παντοκρατωρ	the all-ruling, i.e. God (as absolute and universal sovereign)	1822	(2, 911)	(2, 911)	(1288, 2577, 1052, 3156, 815, 4074, 744, 4463, 1126, 2948, 580, 5724)	(1288, 2577, 1052, 3156, 815, 4074, 744, 4463, 1126, 2948, 580, 5724)	1:8, 4:8, 11:17, 15:3, 16:7, 19:6, 21:22
ναος	G3485	N-NSM	321	naos	ναος	a fane, shrine, temple 	321	(3, 107)	(3, 107)	(227, 454, 185, 556, 144, 718, 131, 786, 198, 519, 102, 1008)	(227, 454, 185, 556, 144, 718, 131, 786, 198, 519, 102, 1008)	11:19, 15:5, 15:8, 21:22
εστιν	G2076	V-PXI-3S	565	estin	εστι	he (she or it) is; also (with neuter plural) they are	515	(5, 113)	(5, 103)	(400, 799, 326, 979, 253, 1263, 231, 1384, 349, 914, 180, 1775)	(364, 728, 297, 892, 230, 1152, 210, 1261, 318, 833, 164, 1618)	1:4, 2:7, 5:2, 5:12, 5:13, 13:10, 13:18, 14:12, 16:21, 17:8, 17:10, 17:11, 17:14, 17:18, 19:8, 19:10, 20:2, 20:12, 20:14, 21:1, 21:8, 21:12, 21:16, 21:17, 21:22, 22:10
αρνιον	G721	N-NSN	281	arnion	αρνιον	a lambkin	281	(281,)	(281,)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	5:6, 5:12, 6:1, 7:17, 14:1, 17:14, 21:22, 21:23
πολις	G4172	N-NSF	390	polis	πολις	a town (properly, with walls, of greater or less size)	390	(2, 3, 5, 13)	(2, 3, 5, 13)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	14:8, 16:19, 17:18, 18:10, 18:16, 18:19, 18:21, 21:16, 21:18, 21:23
χρειαν	G5532	N-ASF	766	xreian	χρεια	employment, i.e. an affair; also (by implication) occasion, demand, requirement or destitution	716	(2, 383)	(2, 179)	(542, 1083, 442, 1327, 343, 1713, 313, 1876, 473, 1239, 244, 2406)	(506, 1013, 413, 1240, 320, 1601, 292, 1754, 443, 1159, 228, 2249)	3:17, 21:23, 22:5
εχει	G2192	V-PAI-3S	620	exei	σχεω	to hold (used in very various applications, literally or figuratively, direct or remote; such as possession; ability, contiuity, relation, or condition)	1605	(2, 5, 31)	(3, 5, 107)	(438, 877, 358, 1074, 277, 1386, 253, 1519, 383, 1003, 197, 1948)	(1135, 2270, 927, 2780, 718, 3589, 655, 3931, 992, 2597, 511, 5042)	9:11, 12:6, 12:12, 13:9, 13:14, 19:16, 20:6, 21:23
ηλιου	G2246	N-GSM	518	ēliou	ηλιος	perhaps akin to the alternate of G138 (ἥλιος)); the sun; by implication, light	318	(2, 7, 37)	(2, 3, 53)	(366, 733, 299, 897, 232, 1158, 211, 1269, 320, 838, 165, 1627)	(225, 450, 184, 551, 142, 711, 130, 779, 197, 515, 101, 999)	7:2, 8:12, 16:12, 21:23, 22:5
ουδε	G3761	ADV	479	oude	ουδε	not however, i.e. neither, nor, not even	479	(479,)	(479,)	(339, 677, 277, 830, 214, 1071, 196, 1173, 296, 775, 152, 1505)	(339, 677, 277, 830, 214, 1071, 196, 1173, 296, 775, 152, 1505)	5:3, 7:16, 9:4, 21:23
σεληνης	G4582	N-GSF	501	selēnēs	σεληνη	probably akin to the alternate of G138 (σελήνη), through the idea of attractiveness); the moon	301	(3, 167)	(7, 43)	(354, 709, 289, 868, 224, 1120, 205, 1227, 310, 811, 159, 1574)	(213, 426, 174, 521, 135, 673, 123, 737, 186, 487, 96, 946)	8:12, 21:23
φαινωσιν	G5316	V-PAS-3P	1621	fainōsin	φαινω	to lighten (shine), i.e. show (transitive or intransitive, literal or figurative)	1361	(1621,)	(1361,)	(1146, 2292, 936, 2808, 725, 3625, 662, 3971, 1002, 2623, 516, 5093)	(962, 1925, 786, 2357, 609, 3043, 556, 3334, 841, 2202, 433, 4276)	21:23
δοξα	G1391	N-NSF	135	doca	δοξα	glory (as very apparent), in a wide application (literal or figurative, objective or subjective)	135	(3, 5)	(3, 5)	(95, 191, 78, 234, 60, 302, 55, 331, 83, 218, 43, 424)	(95, 191, 78, 234, 60, 302, 55, 331, 83, 218, 43, 424)	1:6, 5:13, 7:12, 19:1, 21:23
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
εφωτισεν	G5461	V-AAI-3S	1870	efōtisen	φωτιζω	to shed rays, i.e. to shine or (transitively) to brighten up (literally or figuratively)	2417	(2, 5, 11, 17)	(2417,)	(1322, 2645, 1080, 3239, 836, 4181, 763, 4581, 1156, 3026, 595, 5875)	(1709, 3418, 1395, 4186, 1081, 5405, 987, 5920, 1494, 3911, 769, 7593)	21:23
λυχνος	G3088	N-NSM	1350	luxnos	λυχνος	a portable lamp or other illuminator (literally or figuratively)	1350	(2, 3, 5)	(2, 3, 5)	(955, 1909, 779, 2338, 604, 3019, 551, 3307, 834, 2184, 430, 4241)	(955, 1909, 779, 2338, 604, 3019, 551, 3307, 834, 2184, 430, 4241)	21:23
αρνιον	G721	N-NSN	281	arnion	αρνιον	a lambkin	281	(281,)	(281,)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	5:6, 5:12, 6:1, 7:17, 14:1, 17:14, 21:22, 21:23
εθνη	G1484	N-NPN	72	ethnē	εθνος	a race (as of the same habit), i.e. a tribe; specially, a foreign (non-Jewish) one (usually, by implication, pagan)	334	(2, 3)	(2, 167)	(51, 102, 42, 125, 32, 161, 29, 176, 44, 116, 23, 226)	(236, 472, 193, 579, 149, 747, 136, 818, 206, 540, 106, 1049)	11:18, 12:5, 14:8, 15:4, 17:15, 18:3, 18:23, 19:15, 20:3, 20:8, 21:24
σωζομενων	G4982	V-PPP-GPM	2022	sōzomenōn	σωζω	to save, i.e. deliver or protect (literally or figuratively)	1807	(2, 3, 337)	(13, 139)	(1430, 2860, 1167, 3502, 904, 4521, 825, 4953, 1250, 3272, 644, 6352)	(1278, 2555, 1043, 3130, 808, 4041, 738, 4426, 1117, 2924, 575, 5677)	21:24
φωτι	G5457	N-DSN	1610	fōti	φως	compare G5316 (φῶς), G5346 (φῶς)); luminousness (in the widest application, natural or artificial, abstract or concrete, literal or figurative)	1500	(2, 5, 7, 23)	(2, 3, 5)	(1138, 2277, 930, 2789, 720, 3600, 657, 3944, 995, 2605, 512, 5058)	(1061, 2121, 866, 2598, 671, 3354, 612, 3674, 927, 2427, 477, 4712)	21:24
